io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84102443.141949232070021055
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      7   royallandOp   active   15       84102443.141949232070021055
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84102443.141949232070021055
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84102443.141949232070021055
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp            0        84102443.141949232070021055
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp            0        84102393.152491307711616316
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84102393.152491307711616316
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84102393.152491307711616316
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84102393.152491307711616316
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84102393.152491307711616316
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp            0        84097975.145475584209765004
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84097975.145475584209765004
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   30       84097975.145475584209765004
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84097975.145475584209765004
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp            0        84097975.145475584209765004
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84097975.145475584209765004
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84097975.145475584209765004
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   15       84097975.145475584209765004
io108h7sa5sap44e244hz649zyk5y4rqzsvnpzxh5      6   royallandOp   active   30       84097975.145475584209765004
